번호,구분,근거,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,WGS84위도,WGS84경도,화장실소유구분,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자
3732,개방화장실,법제3조제5호,백로공원 화장실,서울특별시 동작구 장승배기로19라길 51,서울특별시 동작구 상도동 362-46,1,2,0,0,0,0,2,1,1,동작구 공원녹지과,02-820-1639,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,N,없음,,2024-05-07
3747,공중화장실,법제3조제16호-영제3조제1항제1호,상도근린공원 공중화장실,,서울특별시 동작구 상도동 산64-56,1,0,0,0,0,0,1,0,0,동작구청소행정과,02-820-9143,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-07
3913,개방화장실,법제3조제16호-영제3조제1항제1호,농림축산검역본부 서울지역본부,서울특별시 강서구 등촌로 39가 46  (본관동),서울특별시 강서구 등촌동 산 23-4,1,2,0,0,0,0,2,0,0,농림축산검역본부 서울지역본부,02-2650-0605,정시,09:00∼18:00 * 토요일  공휴일 제외,1989-11,,,공공기관-국가공공기관,수세식,Y,N,없음,N,N,없음,,2024-03-08
3947,공중화장실,법제3조제5호,까치산근린공원(게이트볼장 앞),서울특별시 강서구 까치산로2길 75-3 (화곡동),서울특별시 강서구 화곡동 105-561,1,1,0,0,0,0,2,0,0,강서구청 공원녹지과,02-2600-4185,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,없음,,2024-03-08
4032,공중화장실,법제3조제1호,몽촌빗물펌프장 화장실,서울특별시 송파구 올림픽로39길 20,서울특별시 송파구 신천동 21,0,1,1,1,0,0,2,1,0,송파구 치수과,02-2147-3366,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,Y,여자화장실,,2023-12-31
4220,개방화장실,법제3조제16호-영제3조제1항제4호,송파어린이영어도서관,서울특별시 송파구 오금로 1,서울특별시 송파구 신천동 14,3,2,1,1,0,2,3,1,2,송파구 교육협력과,02-2147-2378,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,Y,Y,여자화장실,,2023-12-31
4221,개방화장실,법제3조제16호-영제3조제1항제1호,신천유수지 공영주차장,서울특별시 송파구 오금로1,서울특별시 송파구 신천동 14,2,2,0,0,0,0,2,0,0,서울특별시동부주차관리소,02-2290-6199,정시,09:00~18:00,,,,공공기관-지방자치단체,수세식,N,Y,남자화장실+여자화장실,Y,N,없음,,2023-12-31
4367,공중화장실,법제3조제16호-영제3조제1항제5호,삼각지 어린이공원,서울특별시 용산구 용산3가 1-96,,2,3,0,0,0,0,3,0,0,공원녹지과,02-2199-7605,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,N,Y,남자화장실+여자화장실,2022-12,2024-05-24
4370,공중화장실,법제3조제16호-영제3조제1항제5호,도원 어린이공원,서울특별시 용산구 도원동 15-57,,0,0,1,1,0,0,0,1,0,공원녹지과,02-2199-7605,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,N,Y,남자화장실+여자화장실,2022-05,2024-05-24
4397,공중화장실,법제3조제5호,초안산도자기체험장,,서울특별시 노원구 월계동 산47-11,3,0,0,0,0,0,3,0,0,노원구청 푸른도시과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-27
4411,공중화장실,법제3조제12호,SK행복충전 신성에너지충전소,서울특별시 노원구 동일로 1113 (공릉동),,2,2,0,0,0,0,2,0,0,SK행복충전 신성에너지충전소,02-972-2254,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2024-05-27
4479,개방화장실,법제3조제17호-영제3조제2항제1호,중앙빌딩(장소:맥도날드),서울특별시 노원구 공릉로34길74,,1,2,0,0,0,0,2,0,0,노원구청 자원순환과,02-2116-3815,정시,정시,,,,민간소유-법인,수세식,N,N,없음,N,N,없음,,2024-05-27
4510,개방화장실,법제3조제16호-영제3조제1항제1호,동빙고 빗물펌프장 화장실,서울특별시 용산구 서빙고로 299 (동빙고동),,0,0,0,0,0,0,0,0,0,서빙고 펌프장,02-2199-8680,정시,09:00-18:00,,,,공공기관-지방자치단체,수세식,Y,N,없음,N,N,없음,,2024-05-24
4558,공중화장실,법제3조제5호,계남근린공원(B),서울특별시 양천구 중앙로 153  11단지 옆,,3,4,1,0,0,0,7,1,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-20
4561,공중화장실,법제3조제5호,갈산근린공원(B),서울특별시 양천구 신정7동 171-58  분수광장,서울특별시 양천구 신정7동 171-58  분수광장,1,2,0,0,0,0,2,0,0,서울특별시 양천구청 공원녹지과,02-2620-3584,상시,상시,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-20
4583,개방화장실,법제3조제7호,효창공원앞역,서울특별시 용산구 원효로71길 40 (용문동),,8,12,0,0,0,0,20,0,0,한국철도공사(코레일),02-701-6418,정시,05:00~00:00,,,,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-24
4591,개방화장실,법제3조제7호,서울(4)역,서울특별시 중구 용산구 동자동 14-151 서울역(4호선),,5,4,1,0,1,0,10,1,1,서울교통공사,61104261,정시,05:00~24:00,,,,공공기관-국가공공기관,수세식,N,Y,장애인화장실+남자화장실+여자화장실,Y,Y,남자화장실+여자화장실,,2024-05-24
4790,공중화장실,법제3조제5호,한내근린공원,,서울특별시 노원구 월계3동청소년아지트,1,0,0,0,0,0,3,0,0,노원구청 푸른도시과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-27
4791,공중화장실,법제3조제5호,한내근린공원,,서울특별시 노원구 월계3동1-7,3,0,0,0,0,0,3,1,0,노원구청 푸른도시과,,상시,,,,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,없음,,2024-05-27
4820,개방화장실,법제3조제13호,신월야구공원,서울특별시 양천구 남부순환로 64,,2,1,1,1,0,0,3,1,0,체육시설관리사업소(신월야구공원),02-2640-6408,정시,07~18시,,,,공공기관-지방자치단체,수세식,N,N,없음,N,N,없음,,2024-05-20
4822,개방화장실,법제3조제16호-영제3조제1항제1호,서울에너지공사,서울특별시 양천구 목동서로 20,,1,2,1,1,0,0,0,1,0,서울에너지공사,02-2640-5175,정시,09:00~18:00,,,,공공기관-국가공공기관,수세식,N,N,없음,Y,N,없음,,2024-05-20
5185,개방화장실,법제3조제8호,대림역(7),서울특별시 구로구 대림동 1050-17 대림역(7호선),,3,5,1,1,0,0,7,1,0,서울교통공사,02-6311-7441,상시,05~24,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,Y,여자화장실,Y,Y,남자화장실+여자화장실,,2024-06-28
5187,개방화장실,법제3조제8호,천왕역(7),서울특별시 구로구 오류동 174-6 천왕역,,1,3,1,1,0,0,4,1,0,서울교통공사,02-6311-7491,상시,05~24,,,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,Y,여자화장실,Y,Y,남자화장실+여자화장실,,2024-06-28